layer,mode,auroc_mean,auroc_std,acc_mean,acc_std
0,last,0.5,0.0,0.6666666666666666,0.007022084070579068
1,last,0.9207749766573295,0.04037639923510603,0.8684012066365007,0.051041936309140654
2,last,0.9281364310430055,0.028855562423822465,0.856787330316742,0.05693411430694766
3,last,0.9405794474652606,0.028688664526721443,0.8604072398190045,0.05743933535980047
4,last,0.9423891909705058,0.022445529083000678,0.8760180995475112,0.04529748519492377
5,last,0.942696764980502,0.022001012654159793,0.8760180995475112,0.035817972304332764
6,last,0.9413802383698577,0.02327304659728812,0.8760180995475112,0.03141765668900638
7,last,0.9424485088152907,0.016345539068555102,0.8606334841628959,0.024823494403298608
8,last,0.963959466139397,0.011375510324642282,0.9070889894419306,0.018357884864344618
9,last,0.9730383918273191,0.006675152348321756,0.9148567119155355,0.03543724443757214
10,last,0.9716845169440326,0.0063174359444476465,0.9187782805429865,0.03701291085709515
11,last,0.9696473883671116,0.009800983482731184,0.9110859728506788,0.04617602164455718
12,last,0.969013566210798,0.012928948032327301,0.899396681749623,0.04585714825902332
13,last,0.9676871532926896,0.016130199682367327,0.8953996983408749,0.04136526533960813
14,last,0.9616328884494975,0.01784411248431797,0.8953996983408749,0.04136526533960813
15,last,0.9605668149612786,0.01927474297297055,0.88763197586727,0.032978772627264764
16,last,0.9641319272807161,0.0237542322352163,0.903318250377074,0.03998306505733464
17,last,0.9654308782336465,0.025025173802924836,0.9031674208144796,0.03831961512134763
18,last,0.968782885703301,0.02125002717445773,0.9109351432880846,0.041545536890668526
19,last,0.9704745427582798,0.018826029380755272,0.9187028657616894,0.035241868739585104
20,last,0.9761328060636018,0.011920058749268173,0.9226998491704375,0.043757473200550824
21,last,0.9743950129071237,0.012634552287485602,0.9266214177978884,0.03903295983442973
22,last,0.993543142747295,0.006097730440023799,0.9574660633484162,0.014232030084478481
23,last,0.9905063986378865,0.007332783669474711,0.9497737556561086,0.019405792717928177
24,last,0.9928906464546603,0.004647801235678167,0.9458521870286576,0.02235332791559317
25,last,0.9888367111550502,0.00795029270452569,0.9459276018099547,0.028089956093527275
26,last,0.9864541110561872,0.009765041965202129,0.9459276018099547,0.028089956093527275
27,last,0.9854457076948426,0.01012968085515484,0.9419306184012066,0.020933545824708924
28,last,0.989114626242654,0.010192682369252522,0.9495475113122172,0.00979927956004876
29,last,0.9871263799637502,0.00974880708904928,0.9417797888386122,0.012647668153088498
30,last,0.9905278189707255,0.007239832083611778,0.9457767722473605,0.014297815174846533
31,last,0.9891821826769924,0.006503517151539648,0.9419306184012066,0.02093354582470892
32,last,0.9864634481243477,0.008282277821253629,0.9419306184012066,0.02093354582470892
33,last,0.9864634481243477,0.009108444981114757,0.9263951734539969,0.022332709460463302
34,last,0.9813719997803041,0.011183857506183668,0.8992458521870287,0.025415340747811235
35,last,0.9766639204701487,0.010367839718465034,0.9070889894419307,0.030570998085426168
36,last,0.9759724281869611,0.011624880699051722,0.9110105580693817,0.03554509135229101
0,mean,0.9087587191739441,0.04718724266463023,0.7947963800904977,0.07635403042379747
1,mean,0.9066381062228814,0.04119870055214414,0.8217194570135747,0.03547333672612969
2,mean,0.9113450870544296,0.04269449379176556,0.810105580693816,0.05411219455608916
3,mean,0.9162064041302795,0.03740946663410427,0.8333333333333334,0.04356664332295187
4,mean,0.9145954852529247,0.03729710933137818,0.8294117647058824,0.04654906740488692
5,mean,0.9256357444938761,0.030836973761701022,0.8527903469079939,0.045186986342350424
6,mean,0.9207134618553304,0.03497769681693617,0.8374057315233786,0.056504949518059816
7,mean,0.9189361234689954,0.030673296413870465,0.8178733031674209,0.046844053942139086
8,mean,0.9239528752677542,0.028266459133575624,0.8526395173453997,0.03826614669387006
9,mean,0.9248931729554567,0.03327969856294277,0.8525641025641025,0.04241972514103254
10,mean,0.9267946394243971,0.02831103290268583,0.8370286576168928,0.021208052492048216
11,mean,0.9401428022189269,0.024218311683730703,0.883634992458522,0.03251557949360323
12,mean,0.936925907617949,0.029774983933283195,0.8799396681749624,0.05349486791623195
13,mean,0.937839292579777,0.033109147938986755,0.8682503770739064,0.04482176508023286
14,mean,0.9512341407151096,0.027250625338556055,0.8799396681749624,0.03718078741160143
15,mean,0.9617366946778712,0.022095481624283278,0.895475113122172,0.0333861841551072
16,mean,0.9647536661723514,0.020959881417113843,0.9032428355957769,0.0441943487630431
17,mean,0.9676086120722799,0.018584835052332653,0.9147812971342384,0.028731942988761285
18,mean,0.9739578184214862,0.021829702918777685,0.9225490196078432,0.04067059793573827
19,mean,0.9732383149338165,0.02271258288756212,0.9263197586726999,0.04176481210021968
20,mean,0.981713077387818,0.015714793835452545,0.930316742081448,0.029012057543417513
21,mean,0.9863931454934916,0.013883301518032548,0.9419306184012066,0.032274530809246825
22,mean,0.9864513648596693,0.01132177041248172,0.9535444947209653,0.02644619073071668
23,mean,0.9854023177898611,0.013694261613928132,0.9418552036199095,0.017378812332831478
24,mean,0.9898039215686275,0.010230188887144312,0.9457767722473605,0.02262745077931288
25,mean,0.9880655791728457,0.0126723751042385,0.9457767722473605,0.014297815174846533
26,mean,0.9884214862415555,0.011632864643916892,0.9457767722473605,0.007516550052466351
27,mean,0.9870758499478223,0.011856434379912151,0.9419306184012066,0.01193127623640939
28,mean,0.981310484978305,0.012453506955812476,0.9225490196078432,0.01181776333028592
29,mean,0.9763442631954742,0.011067547296700226,0.9224736048265461,0.017385683433439554
30,mean,0.9773521173175153,0.012937324508800915,0.9341628959276018,0.015358715963231146
31,mean,0.9715680782116769,0.01278634553331297,0.9187028657616894,0.013956014181985738
32,mean,0.9628154006700719,0.013675190612531673,0.8953996983408746,0.015224823013348395
33,mean,0.9544367550941946,0.0126722164678177,0.8836349924585217,0.021846348786558032
34,mean,0.9454133025759323,0.018249329488612465,0.860708898944193,0.03467817332037759
35,mean,0.9494573515680781,0.022260480038685995,0.8645550527903468,0.03802161682642958
36,mean,0.9645065084857473,0.019592182455341337,0.8917043740573153,0.033068672159090366
