base_id,condition,hop_depth,error_type,final_correct,final_absurd,max_probe_score,mean_probe_score,fired_at_least_once,n_interventions
3hop_multi_stage_geometry_0009,baseline,3,wrong_percentage_base,False,False,0.9977716832889043,0.566946526322296,True,0
3hop_multi_stage_geometry_0009,reprompt,3,wrong_percentage_base,False,False,0.9977716832889043,0.566946526322296,True,1
3hop_multi_stage_geometry_0009,replace_prior,3,wrong_percentage_base,False,False,0.7888517202025846,0.4897768071048941,False,1
3hop_multi_stage_geometry_0009,branch_and_pick,3,wrong_percentage_base,False,False,0.9966771298025683,0.566581675160184,True,1
3hop_percentage_chain_0048,baseline,3,magnitude_error,False,False,0.9997586254987058,0.6663145973702028,True,0
3hop_percentage_chain_0048,reprompt,3,magnitude_error,False,False,0.9997586254987058,0.6663145973702028,True,2
3hop_percentage_chain_0048,replace_prior,3,magnitude_error,False,False,0.7275743848339797,0.24260141667159818,False,1
3hop_percentage_chain_0048,branch_and_pick,3,magnitude_error,False,False,0.9997239532375594,0.6660891773866889,True,2
2hop_arithmetic_0044,baseline,2,wrong_percentage_base,False,False,0.9995840066864806,0.7801568424703539,True,0
2hop_arithmetic_0044,reprompt,2,wrong_percentage_base,False,False,0.9995840066864806,0.7801568424703539,True,1
2hop_arithmetic_0044,replace_prior,2,wrong_percentage_base,False,False,0.5607296782542271,0.34958551320129566,False,1
2hop_arithmetic_0044,branch_and_pick,2,wrong_percentage_base,False,False,0.9993860640139054,0.7800578711340662,True,1
4hop_nested_fractions_0009,baseline,4,wrong_percentage_base,False,False,0.9999997446016982,0.7749644244506744,True,0
4hop_nested_fractions_0009,reprompt,4,wrong_percentage_base,False,False,0.9999997446016982,0.7749644244506744,True,3
4hop_nested_fractions_0009,replace_prior,4,wrong_percentage_base,False,False,0.09986123105479978,0.026256700377234463,False,3
4hop_nested_fractions_0009,branch_and_pick,4,wrong_percentage_base,False,False,0.9999996645605397,0.774963621705917,True,3
2hop_counting_0007,baseline,2,wrong_unit,False,False,0.9875346210659706,0.8662290784282938,True,0
2hop_counting_0007,reprompt,2,wrong_unit,False,False,0.9875346210659706,0.8662290784282938,True,1
2hop_counting_0007,replace_prior,2,wrong_unit,False,False,0.9875346210659706,0.8662290784282938,True,0
2hop_counting_0007,branch_and_pick,2,wrong_unit,False,False,0.9637086938063627,0.8543161147984899,True,1
3hop_percentage_chain_0002,baseline,3,wrong_unit,False,False,0.9999315160515739,0.6666104928766969,True,0
3hop_percentage_chain_0002,reprompt,3,wrong_unit,False,False,0.9999315160515739,0.6666104928766969,True,2
3hop_percentage_chain_0002,replace_prior,3,wrong_unit,False,False,0.0001578774263983146,8.740645245479823e-05,False,2
3hop_percentage_chain_0002,branch_and_pick,3,wrong_unit,False,False,0.9999001192941203,0.6665732437231987,True,2
3hop_percentage_chain_0022,baseline,3,wrong_unit,False,False,0.9999992070045021,0.667301429875293,True,0
3hop_percentage_chain_0022,reprompt,3,wrong_unit,False,False,0.9999992070045021,0.667301429875293,True,2
3hop_percentage_chain_0022,replace_prior,3,wrong_unit,False,False,0.8162739231776808,0.2731024163451197,False,1
3hop_percentage_chain_0022,branch_and_pick,3,wrong_unit,False,False,0.999998109821565,0.6672996153073206,True,2
4hop_nested_fractions_0018,baseline,4,magnitude_error,False,False,0.9999998889266214,0.7773388891553759,True,0
4hop_nested_fractions_0018,reprompt,4,magnitude_error,False,False,0.9999998889266214,0.7773388891553759,True,3
4hop_nested_fractions_0018,replace_prior,4,magnitude_error,False,False,0.11171555292892427,0.029438193218385453,False,3
4hop_nested_fractions_0018,branch_and_pick,4,magnitude_error,False,False,0.9999998494842843,0.7769459428305368,True,3
3hop_compound_rate_0043,baseline,3,magnitude_error,False,False,0.9996063804634546,0.6483958220629918,True,0
3hop_compound_rate_0043,reprompt,3,magnitude_error,False,False,0.9996063804634546,0.6483958220629918,True,2
3hop_compound_rate_0043,replace_prior,3,magnitude_error,False,False,0.0025595337107267723,0.0014826670988686518,False,1
3hop_compound_rate_0043,branch_and_pick,3,magnitude_error,False,False,0.9994042445853315,0.6503940950327085,True,2
4hop_multi_stage_geometry_4_0004,baseline,4,wrong_percentage_base,False,False,0.9972147571990214,0.7899262030657342,True,0
4hop_multi_stage_geometry_4_0004,reprompt,4,wrong_percentage_base,False,False,0.9972147571990214,0.7899262030657342,True,3
4hop_multi_stage_geometry_4_0004,replace_prior,4,wrong_percentage_base,False,False,0.5823721516856549,0.2274347091147076,False,2
4hop_multi_stage_geometry_4_0004,branch_and_pick,4,wrong_percentage_base,False,False,0.9972407678314343,0.788149065006,True,3
2hop_counting_0029,baseline,2,wrong_percentage_base,False,False,0.9955468990255106,0.9844215700474261,True,0
2hop_counting_0029,reprompt,2,wrong_percentage_base,False,False,0.9955468990255106,0.9844215700474261,True,2
2hop_counting_0029,replace_prior,2,wrong_percentage_base,False,False,0.9732962410693416,0.670166867013288,True,1
2hop_counting_0029,branch_and_pick,2,wrong_percentage_base,False,False,0.9908241674615819,0.9635555348327797,True,2
2hop_percentage_0012,baseline,2,wrong_unit,False,False,0.27316208447915685,0.15592707840389408,False,0
2hop_percentage_0012,reprompt,2,wrong_unit,False,False,0.27316208447915685,0.15592707840389408,False,0
2hop_percentage_0012,replace_prior,2,wrong_unit,False,False,0.27316208447915685,0.15592707840389408,False,0
2hop_percentage_0012,branch_and_pick,2,wrong_unit,False,False,0.27316208447915685,0.15592707840389408,False,0
2hop_arithmetic_0040,baseline,2,off_by_one,False,False,0.995364754724621,0.9274774821942025,True,0
2hop_arithmetic_0040,reprompt,2,off_by_one,False,False,0.995364754724621,0.9274774821942025,True,2
2hop_arithmetic_0040,replace_prior,2,off_by_one,False,False,0.995364754724621,0.9601236838166874,True,1
2hop_arithmetic_0040,branch_and_pick,2,off_by_one,False,False,0.983742329188607,0.9154274612459947,True,2
3hop_percentage_chain_0028,baseline,3,magnitude_error,False,False,0.9999477259091849,0.668242927619887,True,0
3hop_percentage_chain_0028,reprompt,3,magnitude_error,False,False,0.9999477259091849,0.668242927619887,True,2
3hop_percentage_chain_0028,replace_prior,3,magnitude_error,False,False,0.46540184575814053,0.15777810073654266,False,1
3hop_percentage_chain_0028,branch_and_pick,3,magnitude_error,False,False,0.9998857544205698,0.6682222628546041,True,2
2hop_fractions_0029,baseline,2,wrong_percentage_base,False,False,0.9999949548955889,0.9989870666494065,True,0
2hop_fractions_0029,reprompt,2,wrong_percentage_base,False,False,0.9999949548955889,0.9989870666494065,True,2
2hop_fractions_0029,replace_prior,2,wrong_percentage_base,False,False,0.9979791784032241,0.9732725263195613,True,1
2hop_fractions_0029,branch_and_pick,2,wrong_percentage_base,False,False,0.9999900463751119,0.9955750812687885,True,2
2hop_percentage_0004,baseline,2,wrong_percentage_base,False,False,0.9888737159771939,0.6068464336873277,True,0
2hop_percentage_0004,reprompt,2,wrong_percentage_base,False,False,0.9888737159771939,0.6068464336873277,True,1
2hop_percentage_0004,replace_prior,2,wrong_percentage_base,False,False,0.22481915139746156,0.12605120491186758,False,1
2hop_percentage_0004,branch_and_pick,2,wrong_percentage_base,False,False,0.9859312088484514,0.6053751801229565,True,1
3hop_multi_stage_geometry_0025,baseline,3,off_by_one,False,False,0.998475068187657,0.5895729115235582,True,0
3hop_multi_stage_geometry_0025,reprompt,3,off_by_one,False,False,0.998475068187657,0.5895729115235582,True,1
3hop_multi_stage_geometry_0025,replace_prior,3,off_by_one,False,False,0.7605376052551476,0.5004909761872945,False,1
3hop_multi_stage_geometry_0025,branch_and_pick,3,off_by_one,False,False,0.9977933152448091,0.589345660542609,True,1
2hop_fractions_0009,baseline,2,wrong_percentage_base,False,False,0.9993331302056936,0.9588141033274777,True,0
2hop_fractions_0009,reprompt,2,wrong_percentage_base,False,False,0.9993331302056936,0.9588141033274777,True,2
2hop_fractions_0009,replace_prior,2,wrong_percentage_base,False,False,0.9182950764492618,0.6621807132206932,True,1
2hop_fractions_0009,branch_and_pick,2,wrong_percentage_base,False,False,0.998678209876254,0.9136408815496415,True,2
2hop_rate_distance_0026,baseline,2,wrong_operator,False,False,0.9999999797504806,0.5873315486674637,True,0
2hop_rate_distance_0026,reprompt,2,wrong_operator,False,False,0.9999999797504806,0.5873315486674637,True,1
2hop_rate_distance_0026,replace_prior,2,wrong_operator,False,False,0.17466311758444683,0.08941122292152315,False,1
2hop_rate_distance_0026,branch_and_pick,2,wrong_operator,False,False,0.9999999373425182,0.5873315274634825,True,1
planning_budget_0018,baseline,4,constraint_violation,False,False,0.9135711242972682,0.476012564966632,True,0
planning_budget_0018,reprompt,4,constraint_violation,False,False,0.9135711242972682,0.476012564966632,True,1
planning_budget_0018,replace_prior,4,constraint_violation,False,False,0.9135711242972682,0.476012564966632,True,0
planning_budget_0018,branch_and_pick,4,constraint_violation,False,False,0.6921265005423193,0.4206514090278948,False,1
3hop_multi_stage_geometry_0005,baseline,3,off_by_one,False,False,0.9799260472557892,0.6377085630851016,True,0
3hop_multi_stage_geometry_0005,reprompt,3,off_by_one,False,False,0.9799260472557892,0.6377085630851016,True,2
3hop_multi_stage_geometry_0005,replace_prior,3,off_by_one,False,False,0.9799260472557892,0.658934461751815,True,1
3hop_multi_stage_geometry_0005,branch_and_pick,3,off_by_one,False,False,0.9599553866802479,0.6254254080968592,True,2
4hop_multi_stage_allocation_0020,baseline,4,off_by_one,False,False,0.9999005376707372,0.7852222929735749,True,0
4hop_multi_stage_allocation_0020,reprompt,4,off_by_one,False,False,0.9999005376707372,0.7852222929735749,True,3
4hop_multi_stage_allocation_0020,replace_prior,4,off_by_one,False,False,0.14175908085911978,0.04294155799134035,False,3
4hop_multi_stage_allocation_0020,branch_and_pick,4,off_by_one,False,False,0.9998964768299718,0.7851595881969944,True,3
3hop_multi_stage_geometry_0000,baseline,3,off_by_one,False,False,0.8477453149368455,0.556403488019101,True,0
3hop_multi_stage_geometry_0000,reprompt,3,off_by_one,False,False,0.8477453149368455,0.556403488019101,True,1
3hop_multi_stage_geometry_0000,replace_prior,3,off_by_one,False,False,0.912197624814082,0.6122926267272458,True,1
3hop_multi_stage_geometry_0000,branch_and_pick,3,off_by_one,False,False,0.8148689762997298,0.5454447084733958,False,1
2hop_rate_distance_0011,baseline,2,wrong_operator,False,False,0.9999999945533924,0.9812123461123881,True,0
2hop_rate_distance_0011,reprompt,2,wrong_operator,False,False,0.9999999945533924,0.9812123461123881,True,2
2hop_rate_distance_0011,replace_prior,2,wrong_operator,False,False,0.9624246976713837,0.5284604395559215,True,1
2hop_rate_distance_0011,branch_and_pick,2,wrong_operator,False,False,0.9999999846272769,0.9384696143131657,True,2
2hop_fractions_0034,baseline,2,wrong_percentage_base,False,False,0.9999894472104783,0.9861955172140275,True,0
2hop_fractions_0034,reprompt,2,wrong_percentage_base,False,False,0.9999894472104783,0.9861955172140275,True,2
2hop_fractions_0034,replace_prior,2,wrong_percentage_base,False,False,0.9724015872175769,0.7968345652147699,True,1
2hop_fractions_0034,branch_and_pick,2,wrong_percentage_base,False,False,0.9999739392022451,0.9555319008875909,True,2
2hop_percentage_0000,baseline,2,off_by_one,False,False,0.9560848289093021,0.5032787246172822,True,0
2hop_percentage_0000,reprompt,2,off_by_one,False,False,0.9560848289093021,0.5032787246172822,True,1
2hop_percentage_0000,replace_prior,2,off_by_one,False,False,0.05047262032526221,0.03196264543577548,False,1
2hop_percentage_0000,branch_and_pick,2,off_by_one,False,False,0.9476721186921031,0.49907236950868267,True,1
2hop_arithmetic_0034,baseline,2,wrong_percentage_base,False,False,0.9999807477804925,0.9982277559841375,True,0
2hop_arithmetic_0034,reprompt,2,wrong_percentage_base,False,False,0.9999807477804925,0.9982277559841375,True,2
2hop_arithmetic_0034,replace_prior,2,wrong_percentage_base,False,False,0.9964747641877826,0.9194982565831133,True,1
2hop_arithmetic_0034,branch_and_pick,2,wrong_percentage_base,False,False,0.9999713116186727,0.9934799036888367,True,2
3hop_percentage_chain_0006,baseline,3,wrong_operator,False,False,0.9999994650827472,0.6676698503267913,True,0
3hop_percentage_chain_0006,reprompt,3,wrong_operator,False,False,0.9999994650827472,0.6676698503267913,True,2
3hop_percentage_chain_0006,replace_prior,3,wrong_operator,False,False,0.0030147157589437376,0.001823697541729394,False,2
3hop_percentage_chain_0006,branch_and_pick,3,wrong_operator,False,False,0.9999991345921813,0.6676680841656756,True,2
2hop_fractions_0048,baseline,2,magnitude_error,False,False,0.9999996386756329,0.6763142533164581,True,0
2hop_fractions_0048,reprompt,2,magnitude_error,False,False,0.9999996386756329,0.6763142533164581,True,1
2hop_fractions_0048,replace_prior,2,magnitude_error,False,False,0.3526288679572833,0.2571841030420838,False,1
2hop_fractions_0048,branch_and_pick,2,magnitude_error,False,False,0.9999990038558917,0.6763139359065875,True,1
4hop_compound_interest_0002,baseline,4,wrong_unit,False,False,0.9999999979667571,0.7931061839277502,True,0
4hop_compound_interest_0002,reprompt,4,wrong_unit,False,False,0.9999999979667571,0.7931061839277502,True,3
4hop_compound_interest_0002,replace_prior,4,wrong_unit,False,False,0.1724247568936837,0.04598010097655805,False,3
4hop_compound_interest_0002,branch_and_pick,4,wrong_unit,False,False,0.9999999953706515,0.7931061788663624,True,3
4hop_multi_stage_allocation_0006,baseline,4,wrong_operator,False,False,0.999999877174826,0.7890152532027386,True,0
4hop_multi_stage_allocation_0006,reprompt,4,wrong_operator,False,False,0.999999877174826,0.7890152532027386,True,3
4hop_multi_stage_allocation_0006,replace_prior,4,wrong_operator,False,False,0.1561514634132788,0.04800972231162155,False,3
4hop_multi_stage_allocation_0006,branch_and_pick,4,wrong_operator,False,False,0.9999998533874386,0.78899961709866,True,3
3hop_percentage_chain_0020,baseline,3,off_by_one,False,False,0.9999841802697853,0.6656920913720823,True,0
3hop_percentage_chain_0020,reprompt,3,off_by_one,False,False,0.9999841802697853,0.6656920913720823,True,2
3hop_percentage_chain_0020,replace_prior,3,off_by_one,False,False,0.0016455697684170873,0.000992688063867562,False,2
3hop_percentage_chain_0020,branch_and_pick,3,off_by_one,False,False,0.9999786844453284,0.6640993180351377,True,2
3hop_compound_rate_0026,baseline,3,wrong_operator,False,False,0.9998441669642735,0.6225796544828844,True,0
3hop_compound_rate_0026,reprompt,3,wrong_operator,False,False,0.9998441669642735,0.6225796544828844,True,2
3hop_compound_rate_0026,replace_prior,3,wrong_operator,False,False,0.011659214825991556,0.00705568383039788,False,1
3hop_compound_rate_0026,branch_and_pick,3,wrong_operator,False,False,0.9997642122771354,0.6267996737047329,True,2
2hop_percentage_0031,baseline,2,wrong_operator,False,False,0.9976782490730404,0.6267638896947018,True,0
2hop_percentage_0031,reprompt,2,wrong_operator,False,False,0.9976782490730404,0.6267638896947018,True,1
2hop_percentage_0031,replace_prior,2,wrong_operator,False,False,0.25584953031636315,0.14136446992298424,False,1
2hop_percentage_0031,branch_and_pick,2,wrong_operator,False,False,0.9969565753898805,0.6264030528531218,True,1
2hop_rate_distance_0035,baseline,2,off_by_one,False,False,0.4613623884306041,0.26353811869590055,False,0
2hop_rate_distance_0035,reprompt,2,off_by_one,False,False,0.4613623884306041,0.26353811869590055,False,0
2hop_rate_distance_0035,replace_prior,2,off_by_one,False,False,0.4613623884306041,0.26353811869590055,False,0
2hop_rate_distance_0035,branch_and_pick,2,off_by_one,False,False,0.4613623884306041,0.26353811869590055,False,0
2hop_rate_distance_0003,baseline,2,magnitude_error,False,False,0.9992004972188177,0.9944282705124453,True,0
2hop_rate_distance_0003,reprompt,2,magnitude_error,False,False,0.9992004972188177,0.9944282705124453,True,2
2hop_rate_distance_0003,replace_prior,2,magnitude_error,False,False,0.989656043806073,0.6283106932069058,True,1
2hop_rate_distance_0003,branch_and_pick,2,magnitude_error,False,False,0.999081816212013,0.9834100494990535,True,2
2hop_fractions_0014,baseline,2,wrong_percentage_base,False,False,0.9999989282725774,0.9499062797371942,True,0
2hop_fractions_0014,reprompt,2,wrong_percentage_base,False,False,0.9999989282725774,0.9499062797371942,True,2
2hop_fractions_0014,replace_prior,2,wrong_percentage_base,False,False,0.8998136312018111,0.6823192760288498,True,1
2hop_fractions_0014,branch_and_pick,2,wrong_percentage_base,False,False,0.9999970316928083,0.8699902354214923,True,2
3hop_percentage_chain_0030,baseline,3,off_by_one,False,False,0.9999995576540273,0.6667003697250061,True,0
3hop_percentage_chain_0030,reprompt,3,off_by_one,False,False,0.9999995576540273,0.6667003697250061,True,2
