layer,mode,auroc_mean,auroc_std,acc_mean,acc_std
0,last,0.5,0.0,0.6666666666666666,0.007022084070579068
1,last,0.8789954413137805,0.029600776096426664,0.7984917043740574,0.031304493128928405
2,last,0.8918899324435656,0.026611882618981543,0.8024886877828055,0.038528318685087215
3,last,0.8895260064810238,0.024830054026700736,0.8101055806938161,0.037286184434657164
4,last,0.9324660844730047,0.027144270036667608,0.841025641025641,0.037695774983159326
5,last,0.9249519415609381,0.028777992991152367,0.8409502262443439,0.04008024251244958
6,last,0.925258417092327,0.025786489542021684,0.8564856711915535,0.03616734404410705
7,last,0.9290251002361728,0.02494592860647068,0.8604072398190045,0.03333333333333336
8,last,0.93667490525622,0.022293079931321843,0.8759426847662141,0.035924676281191815
9,last,0.933293238864173,0.026281898271418046,0.8720211161387631,0.040117261335228964
10,last,0.9343626077882133,0.020758259109250613,0.8605580693815987,0.044653193263731454
11,last,0.9455467677266984,0.020719104264713538,0.8721719457013574,0.028541281691127483
12,last,0.9459608941615862,0.01821965228602673,0.8644042232277526,0.027118509413702283
13,last,0.9514098972922502,0.01618598197014027,0.8760935143288083,0.025806404829497705
14,last,0.9523897402098094,0.01891988079178986,0.8877828054298643,0.02790611866267573
15,last,0.9576838578568682,0.01628567333120145,0.8914781297134237,0.019890639631716497
16,last,0.9630746416213544,0.017866447758486538,0.8875565610859727,0.014871060592105384
17,last,0.9745861481847641,0.0129956958117266,0.918476621417798,0.026092206525261053
18,last,0.9707519086065799,0.02308784244088541,0.910708898944193,0.036586196942870595
19,last,0.972730817817323,0.0231187710126247,0.910708898944193,0.040427809672404884
20,last,0.9700208710935353,0.024720605984457664,0.8990950226244344,0.043773457238942146
21,last,0.9699917614104464,0.024866602746604974,0.9029411764705882,0.044853476114194636
22,last,0.9710106003185587,0.023049975682950814,0.8951734539969834,0.03872532497346901
23,last,0.9672823639259626,0.027264635155510142,0.9030165912518854,0.0409977669037113
24,last,0.9717416378316031,0.024669400125254988,0.9223981900452489,0.035125319884334295
25,last,0.9696759488108968,0.027857731749924678,0.9107843137254903,0.0318153860111601
