layer,mode,auroc_mean,auroc_std,acc_mean,acc_std
0,last,0.5,0.0,0.6666666666666666,0.007022084070579068
1,last,0.913360246059208,0.036342708771511335,0.8297134238310709,0.05054962276047727
2,last,0.9214889877519635,0.03340575578471735,0.8451734539969834,0.0436413812624688
3,last,0.9234470258691712,0.03663961372848143,0.8567119155354449,0.03935394469968084
4,last,0.9469303015323776,0.030875819829956908,0.8686274509803923,0.051607409901586444
5,last,0.9468270445433076,0.021625896061016663,0.856787330316742,0.03736374328061427
6,last,0.9478920195529191,0.022919421800856113,0.860708898944193,0.0367492135823474
7,last,0.9450766188828472,0.020746224822982735,0.856787330316742,0.0251589407142769
8,last,0.9518223760092273,0.022185191399793736,0.868476621417798,0.044207730540608094
9,last,0.9544554292305157,0.02632618695213113,0.8800150829562595,0.043047507606282294
10,last,0.9841566430493767,0.011628166107533642,0.9304675716440423,0.030950027783756835
11,last,0.9794595485252925,0.013105710858863032,0.9264705882352942,0.013909887917592201
12,last,0.9760784313725491,0.0186473172865648,0.9265460030165913,0.02517363022024142
13,last,0.9746559015763168,0.018055014431659692,0.9226998491704375,0.0318657570845164
14,last,0.971590597023123,0.01915938426851838,0.9150075414781298,0.035303140484652294
15,last,0.9730213654089086,0.01570194231331732,0.9187782805429865,0.02209614483418925
16,last,0.9796990168616466,0.009482846114891306,0.9226998491704375,0.0318657570845164
17,last,0.9831010051079255,0.009574852342600755,0.9343137254901961,0.0286033860138421
18,last,0.9864151150656341,0.009701294278058305,0.934238310708899,0.028583694449593407
19,last,0.9891343988575823,0.008964271216673264,0.9497737556561086,0.031117531511071928
20,last,0.9881161091887736,0.01152317221697549,0.9420060331825038,0.03209198019429653
21,last,0.9870978195199649,0.010946662079494268,0.9381598793363499,0.03912203110606137
22,last,0.986435436919866,0.012220099507993609,0.9420060331825038,0.036410893712689886
23,last,0.9884906903938045,0.009274237016194944,0.9459276018099547,0.03311524789779544
24,last,0.9877986488713132,0.009389846921954345,0.9420060331825038,0.027093120983479164
25,last,0.9864244521337946,0.010591200053323289,0.934238310708899,0.01931943596845403
26,last,0.9840989729225023,0.010139970045357929,0.9303921568627451,0.02581081218779154
27,last,0.9834173669467786,0.01045594892882054,0.9380844645550528,0.022237004517625475
28,last,0.9817366946778712,0.011420055046232584,0.9265460030165913,0.022040477861938728
29,last,0.9827352117317515,0.011116362313836108,0.9303921568627451,0.022765522873648376
30,last,0.9810160927115943,0.011614119093298216,0.934238310708899,0.025866940180564
31,last,0.9813417916186082,0.011534682926330033,0.9187028657616894,0.028252474759029936
32,last,0.9803235019497993,0.012528893251999408,0.9147812971342383,0.03787894609128539
33,last,0.9793156478277585,0.013923662012882814,0.9187028657616894,0.035241868739585104
34,last,0.9806513978140275,0.015115302491690618,0.9186274509803922,0.028294516407091092
35,last,0.9789311803152634,0.016896170414982405,0.9109351432880846,0.041545536890668526
36,last,0.981986598560993,0.015011575459662288,0.9147812971342384,0.03348705027432409
0,mean,0.9019662767067611,0.05210054898257097,0.7909502262443439,0.06336215106438857
1,mean,0.8999956060855714,0.05232162396211913,0.7829562594268477,0.05829840636960836
2,mean,0.8959482616576043,0.06499605840086818,0.806184012066365,0.07883496346051186
3,mean,0.9131971219860493,0.05049820632104517,0.8215686274509804,0.07370860325049705
4,mean,0.9193288295710442,0.047403965206896784,0.8411010558069382,0.06770281923962253
5,mean,0.9331680123029603,0.03656589364473586,0.8718702865761688,0.06283205483897475
6,mean,0.9246943483275663,0.03750044287983206,0.8644042232277526,0.032113416837620076
7,mean,0.9226566705113417,0.03164604836352061,0.848868778280543,0.03762993553230409
8,mean,0.9347717910693689,0.027638790764819066,0.8603318250377073,0.029352339704391463
9,mean,0.9262981270939749,0.027240742085786487,0.8526395173453997,0.04230184423330327
10,mean,0.9283187784917889,0.03183756364982799,0.8489441930618401,0.04133156609529233
11,mean,0.9351211072664359,0.025996214196013324,0.8720965309200602,0.01988635017497351
12,mean,0.9444894820673367,0.030578506929293463,0.8605580693815987,0.03541557140911257
13,mean,0.952160707420223,0.024636886282850663,0.887707390648567,0.018399352081210393
14,mean,0.9663157027516889,0.02009713207230056,0.891553544494721,0.02621745818646726
15,mean,0.9781589498544516,0.009112944759969372,0.9109351432880846,0.0194189766991627
16,mean,0.9838188608776844,0.008849053217394914,0.9187782805429865,0.03312898467521365
17,mean,0.9862107980447081,0.009666014801043595,0.9380090497737557,0.02861948721611603
18,mean,0.9868281430219147,0.008386878338528584,0.9420814479638009,0.036490624724141586
19,mean,0.986482122260669,0.00922549356533642,0.9420814479638009,0.03218241297032359
20,mean,0.9892008568133136,0.006268795574720799,0.9458521870286576,0.02235332791559317
21,mean,0.9851666941286318,0.009359478918796035,0.9380844645550528,0.028320635231453596
22,mean,0.986482122260669,0.007906481981277445,0.9380844645550528,0.028320635231453596
23,mean,0.9868001318174328,0.009876911556393558,0.9419306184012066,0.02445114223729645
24,mean,0.9851287966166857,0.009978458741878844,0.9303921568627451,0.02603678258971184
25,mean,0.9834948096885812,0.009415902130007953,0.9226998491704375,0.0363730736199948
26,mean,0.9841577415279839,0.008824027166143344,0.9343137254901961,0.02588869825568712
27,mean,0.9831680123029605,0.008880961158109421,0.9266214177978884,0.03286008172825633
28,mean,0.9821596089416159,0.00999179570765291,0.9304675716440423,0.03104452014012386
29,mean,0.9820926017465809,0.00979182290009734,0.9265460030165913,0.03721656419808424
30,mean,0.9780573405832922,0.012391495567054952,0.9188536953242835,0.04439580486958909
31,mean,0.978710935354534,0.013309629859596089,0.9303921568627451,0.03956624839583559
32,mean,0.9757038501675179,0.015021659648511656,0.9265460030165913,0.03721656419808424
33,mean,0.9780375679683638,0.011559621811079735,0.9227752639517346,0.04365623533061971
34,mean,0.9780463557972208,0.008329626166089281,0.9189291101055808,0.044302573582879375
35,mean,0.9844169824792661,0.010105658949961703,0.9227752639517346,0.04365623533061971
36,mean,0.9864343384412588,0.007814022456593283,0.9303921568627451,0.019244220889081665
